"study_id","n_positive","n_tested","ageband","age_low","age_high","age_mid","cumdeaths","popn","seroprev","seroprevadj","infxns","crudeIFR"
"ESP1-2",130,4838,"0-10",NA,NA,5,0,4370877,2.68706076891277,0.0334244144437147,117448.121124432,0
"ESP1-2",262,6892,"10-20",NA,NA,15,0,4883448,3.80150899593732,0.0472870631218106,185644.715031921,0
"ESP1-2",253,5599,"20-30",NA,NA,25,32,4847942,4.51866404715128,0.0562077722957524,219062.212180747,0.000146077224736492
"ESP1-2",335,7330,"30-40",NA,NA,35,89,6167593,4.57025920873124,0.0568495657690859,281874.987039563,0.000315742808309232
"ESP1-2",624,11033,"40-50",NA,NA,45,289,7813183,5.65575999274903,0.0703521364975732,441894.878274268,0.00065400169635057
"ESP1-2",645,10940,"50-60",NA,NA,55,885,6974015,5.89579524680073,0.0733379408773426,411173.64488117,0.00215237530668038
"ESP1-2",551,8572,"60-70",NA,NA,65,2436,5281864,6.42790480634624,0.0799568646670373,339513.189920672,0.0071749789767201
"ESP1-2",375,5420,"70-80",NA,NA,75,6631,3900552,6.91881918819188,0.0860633606365451,269872.140221402,0.0245708949229066
"ESP1-2",139,2484,"80-90",NA,NA,85,11274,2309517,5.59581320450886,0.0696064569365114,129236.257246377,0.087235581099406
"ESP1-2",36,456,"90-999",NA,NA,95,5811,551458,7.89473684210526,0.0982028241368578,43536.1578947368,0.133475260128605
"NLD1",105,3487,"0-49",NA,NA,24.5,15,10362932,3.01118439919702,0.0271297030982719,312046.991683395,4.8069683091895e-05
"NLD1",48,2132,"49-59",NA,NA,54,53,2508388,2.2514071,0.0193706387263704,56474.025527548,0.000938484542316655
"NLD1",47,1742,"59-69",NA,NA,64,189,2089913,2.6980482,0.0239318661409029,56386.860078066,0.00335184473365488
"NLD1",47,1742,"69-79",NA,NA,74,623,1522110,2.69804822043628,0.0239318663496042,41067.2617680827,0.0151702347119767
"NLD1",47,1742,"79-89",79,89,84,919,672182,2.69804822043628,0.0239318663496042,18135.794489093,0.0506732694039235
"NLD1",47,1742,"89-999",89,999,94.5,302,126638,2.69804822043628,0.0239318663496042,3416.7543053961,0.0883879767190313
