"","study_id","region","obsday","deaths","cumdeaths","popn","std_deaths","std_cum_deaths","age_mid","obsdaymin","obsdaymax","n_positive","n_tested","seroprev","seroprevadj","seromidpt","max_day","cols","details","national_georegion","names"
"1","ESP1-2","Andalucía",167,0,1463.06250441415,8446564,0,173.213925143307,NA,160,174,282,9386,0.030044747496271,0.0385064813011892,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"2","ESP1-2","Aragón",167,0,934.677378345928,1324398,0,705.737533842492,NA,160,174,125,2614,0.0478194338179036,0.0612871895285889,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"3","ESP1-2","Asturias, Principado de",167,0,341.65484850625,1019993,0,334.958032561253,NA,160,174,32,1703,0.0187903699354081,0.024082446645625,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"4","ESP1-2","Balears, Illes",167,0,229.821880076277,1198577,0,191.745611734813,NA,160,174,18,1280,0.0140625,0.0180230302606199,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"5","ESP1-2","Canarias",167,0,166.210466840879,2220277,0,74.860238988594,NA,160,174,60,2593,0.0231392209795604,0.0296560981277714,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"6","ESP1-2","Cantabria",167,0,221.613955787838,581954,0,380.810091154693,NA,160,174,62,1670,0.037125748502994,0.0475817591976975,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"7","ESP1-2","Castilla La Mancha",167,0,3100.54339995762,2038439,0,1521.03810806093,NA,160,174,475,4944,0.0960760517799353,0.123134690741379,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"8","ESP1-2","Castilla y León",167,0,2850.20170916025,2402879,0,1186.16114634164,NA,160,174,567,7270,0.0779917469050894,0.0999571637012639,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"9","ESP1-2","Cataluña",167,0,5813.26237728653,7609503,0,763.947708186268,NA,160,174,383,6490,0.0590138674884438,0.0756343978339858,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"10","ESP1-2","Comunitat Valenciana",167,0,1468.19245709443,4998710,0,293.714269700468,NA,160,174,105,4389,0.0239234449760766,0.0306611891727715,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"11","ESP1-2","Extremadura",167,0,532.489088212444,1062796,0,501.026620548482,NA,160,174,85,2740,0.031021897810219,0.039758833989364,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"12","ESP1-2","Galicia",167,0,635.088141817925,2698771,0,235.324946732392,NA,160,174,74,3872,0.0191115702479339,0.0244941090777936,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"13","ESP1-2","Madrid, Comunidad de",167,0,8634.73635143725,6685470,0,1291.56758633832,NA,160,174,437,3732,0.117095391211147,0.150073868741519,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"14","ESP1-2","Murcia, Región de",167,0,150.820608800057,1494443,0,100.92095101657,NA,160,174,24,1504,0.0159574468085106,0.0204516655439657,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"15","ESP1-2","Navarra, Comunidad Foral de",167,0,541.723003036938,652537,0,830.179749250905,NA,160,174,112,1697,0.065998821449617,0.0845865782152311,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"16","ESP1-2","País Vasco",167,0,1595.41528356522,2181922,0,731.197212166715,NA,160,174,112,3114,0.0359666024405909,0.046096153895712,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"17","ESP1-2","Rioja, La",167,0,374.486545660004,314489,0,1190.77788304203,NA,160,174,50,1356,0.0368731563421829,0.0472580275598027,167,174,"#CB00FF","vivid orchid","ESP","Spain"
"18","BRA1","Central-West",140,33.0761336982017,526.378860437842,16504303,2.00409152075078,31.8934316970454,NA,136,143,0,2477,0,NA,140,143,"#3EF944","neon green","BRA","Brazil"
"19","BRA1","North",140,161.073592650508,2563.35081118061,18672591,8.62620472169653,137.278796026787,NA,136,143,269,4710,0.0571125265392781,0.0562201987342222,140,143,"#3EF944","neon green","BRA","Brazil"
"20","BRA1","Northeast",140,346.94048084441,5521.26607701329,57374243,6.0469726954726,96.2324867103395,NA,136,143,38,6023,0.00630914826498423,NA,140,143,"#3EF944","neon green","BRA","Brazil"
"21","BRA1","South",140,37.2175527756059,592.286063330727,30192315,1.23268297828788,19.617113273054,NA,136,143,9,5309,0.0016952345074402,NA,140,143,"#3EF944","neon green","BRA","Brazil"
"22","BRA1","Southeast",140,551.692240031274,8779.71818803753,89012240,6.19793682342197,98.6349538899092,NA,136,143,21,5682,0.00369588173178458,NA,140,143,"#3EF944","neon green","BRA","Brazil"
"23","GBR3","East Midlands",178,5.46400178923612,3853.24620295631,4835928,1.12987657989038,796.795610471518,NA,172,185,592,12684,0.0466729738252917,0.0420141112180343,178,185,"#3BABFD","Brilliant Azure",NA,"England"
