date,georegion,deaths
12/10/2020,ESP,32838
11/10/2020,ESP,32823
10/10/2020,ESP,32793
09/10/2020,ESP,32757
08/10/2020,ESP,32700
07/10/2020,ESP,32630
06/10/2020,ESP,32541
05/10/2020,ESP,32439
04/10/2020,ESP,32329
03/10/2020,ESP,32258
02/10/2020,ESP,32177
01/10/2020,ESP,32055
30/09/2020,ESP,31952
29/09/2020,ESP,31828
28/09/2020,ESP,31713
27/09/2020,ESP,31584
26/09/2020,ESP,31483
25/09/2020,ESP,31383
24/09/2020,ESP,31270
23/09/2020,ESP,31168
22/09/2020,ESP,31070
21/09/2020,ESP,30958
20/09/2020,ESP,30852
19/09/2020,ESP,30768
18/09/2020,ESP,30666
17/09/2020,ESP,30566
16/09/2020,ESP,30454
15/09/2020,ESP,30357
14/09/2020,ESP,30248
13/09/2020,ESP,30160
12/09/2020,ESP,30069
11/09/2020,ESP,29974
10/09/2020,ESP,29891
09/09/2020,ESP,29817
08/09/2020,ESP,29737
07/09/2020,ESP,29659
06/09/2020,ESP,29589
05/09/2020,ESP,29534
04/09/2020,ESP,29476
03/09/2020,ESP,29411
02/09/2020,ESP,29349
01/09/2020,ESP,29277
31/08/2020,ESP,29218
30/08/2020,ESP,29158
29/08/2020,ESP,29107
28/08/2020,ESP,29068
27/08/2020,ESP,29010
26/08/2020,ESP,28969
25/08/2020,ESP,28924
24/08/2020,ESP,28889
23/08/2020,ESP,28841
22/08/2020,ESP,28795
21/08/2020,ESP,28757
20/08/2020,ESP,28721
19/08/2020,ESP,28691
18/08/2020,ESP,28651
17/08/2020,ESP,28617
16/08/2020,ESP,28588
15/08/2020,ESP,28568
14/08/2020,ESP,28540
13/08/2020,ESP,28510
12/08/2020,ESP,28489
11/08/2020,ESP,28466
10/08/2020,ESP,28442
09/08/2020,ESP,28422
08/08/2020,ESP,28408
07/08/2020,ESP,28379
06/08/2020,ESP,28361
05/08/2020,ESP,28338
04/08/2020,ESP,28329
03/08/2020,ESP,28317
02/08/2020,ESP,28307
01/08/2020,ESP,28296
31/07/2020,ESP,28290
30/07/2020,ESP,28280
29/07/2020,ESP,28272
28/07/2020,ESP,28268
27/07/2020,ESP,28257
26/07/2020,ESP,28250
25/07/2020,ESP,28243
24/07/2020,ESP,28237
23/07/2020,ESP,28232
22/07/2020,ESP,28231
21/07/2020,ESP,28229
20/07/2020,ESP,28225
19/07/2020,ESP,28222
18/07/2020,ESP,28218
17/07/2020,ESP,28216
16/07/2020,ESP,28215
15/07/2020,ESP,28215
14/07/2020,ESP,28210
13/07/2020,ESP,28208
12/07/2020,ESP,28207
11/07/2020,ESP,28205
10/07/2020,ESP,28203
09/07/2020,ESP,28200
08/07/2020,ESP,28198
07/07/2020,ESP,28195
06/07/2020,ESP,28193
05/07/2020,ESP,28190
04/07/2020,ESP,28190
03/07/2020,ESP,28187
02/07/2020,ESP,28182
01/07/2020,ESP,28182
30/06/2020,ESP,28176
29/06/2020,ESP,28173
28/06/2020,ESP,28167
27/06/2020,ESP,28160
26/06/2020,ESP,28159
25/06/2020,ESP,28154
24/06/2020,ESP,28149
23/06/2020,ESP,28148
22/06/2020,ESP,28144
21/06/2020,ESP,28143
20/06/2020,ESP,28138
19/06/2020,ESP,28135
18/06/2020,ESP,28131
17/06/2020,ESP,28127
16/06/2020,ESP,28122
15/06/2020,ESP,28116
14/06/2020,ESP,28106
13/06/2020,ESP,28097
12/06/2020,ESP,28088
11/06/2020,ESP,28080
10/06/2020,ESP,28066
09/06/2020,ESP,28041
08/06/2020,ESP,28031
