region,city,age_low,age_high,population,totpop,site
North,Breves,0,9,24790,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,10,19,23698,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,20,29,15792,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,30,39,11168,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,40,49,6959,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,50,59,4922,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,60,69,3027,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,70,79,1543,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Breves,80,89,961,92860,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1501808__breves/
North,Tefé,0,9,16156,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,10,19,14724,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,20,29,11232,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,30,39,7877,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,40,49,4836,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,50,59,3117,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,60,69,1985,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,70,79,1033,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Tefé,80,89,493,61453,https://www.citypopulation.de/en/brazil/regiaonorte/admin/amazonas/1304203__tef%C3%A9/
North,Castanhal,0,9,31305,173149,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1502400__castanhal/
North,Castanhal,10,19,35633,173149,https://www.citypopulation.de/en/brazil/regiaonorte/admin/par%C3%A1/1502400__castanhal/
