country,study_id,age_low,age_high,region,gender,n_deaths,date_start_survey,date_end_survey,matching_with_sero,cumulative,age_breakdown,gender_breakdown,for_regional_analysis,time_series,ref,notes
Switzerland,CHE1,0,999,Geneva,both,1,10/03/2020,10/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,11/03/2020,11/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,12/03/2020,12/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,13/03/2020,13/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,14/03/2020,14/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,2,15/03/2020,15/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,0,16/03/2020,16/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,17/03/2020,17/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,18/03/2020,18/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
Switzerland,CHE1,0,999,Geneva,both,1,19/03/2020,19/03/2020,exact date available - extract from time series,no,0,0,1,1,https://covid-19-schweiz.bagapps.ch/fr-1.html,includes deaths in nursing homes (these are broken down for some of the time period)
