location	lvl	sero_con_rate	mod	sod	sero_rev_scale	sero_rev_shape
Brazil	Without Serorev.	18.3 (18.1, 18.49)	19.81 (19.62, 19.97)	0.85 (0.84, 0.86)	NA	NA
Brazil	With Serorev.	18.3 (18.11, 18.49)	19.81 (19.62, 19.97)	0.85 (0.84, 0.86)	132.97 (132.85, 133)	3.55 (2.08, 4.93)
Wuhan, China	Without Serorev.	18.3 (18.1, 18.49)	19.44 (19.24, 19.63)	0.81 (0.79, 0.82)	NA	NA
Wuhan, China	With Serorev.	18.3 (18.11, 18.5)	19.44 (19.25, 19.64)	0.81 (0.8, 0.83)	130.4 (130.21, 130.6)	3.68 (2.71, 4.62)
Denmark	Without Serorev.	18.3 (18.1, 18.5)	19.8 (19.61, 19.97)	0.85 (0.84, 0.86)	NA	NA
Denmark	With Serorev.	18.3 (18.1, 18.5)	19.8 (19.6, 19.97)	0.85 (0.84, 0.86)	132.88 (132.35, 133)	3.7 (2.11, 4.94)
England	Without Serorev.	18.3 (18.1, 18.49)	19.79 (19.59, 19.97)	0.87 (0.85, 0.88)	NA	NA
England	With Serorev.	18.3 (18.1, 18.49)	19.79 (19.59, 19.96)	0.87 (0.85, 0.88)	132.95 (132.71, 133)	3.94 (2.15, 4.96)
Italy	Without Serorev.	18.3 (18.1, 18.49)	19.87 (19.69, 19.99)	0.86 (0.85, 0.87)	NA	NA
Italy	With Serorev.	18.3 (18.1, 18.5)	19.87 (19.69, 19.99)	0.86 (0.85, 0.87)	132.93 (132.6, 133)	4.9 (4.47, 5)
Netherlands	Without Serorev.	18.3 (18.1, 18.5)	19.81 (19.62, 19.97)	0.85 (0.84, 0.86)	NA	NA
Netherlands	With Serorev.	18.3 (18.1, 18.5)	19.81 (19.62, 19.97)	0.85 (0.84, 0.86)	130.4 (130.21, 130.6)	3.7 (2.74, 4.65)
Spain	Without Serorev.	18.29 (18.09, 18.48)	19.89 (19.7, 19.99)	0.89 (0.85, 0.9)	NA	NA
Spain	With Serorev.	18.29 (18.1, 18.49)	19.89 (19.7, 19.99)	0.89 (0.88, 0.9)	132.15 (128.85, 132.97)	3.94 (2.81, 4.92)
Sweden	Without Serorev.	18.3 (18.11, 18.5)	19.79 (19.6, 19.96)	0.85 (0.84, 0.86)	NA	NA
Sweden	With Serorev.	18.31 (18.11, 18.5)	19.79 (19.6, 19.97)	0.85 (0.84, 0.86)	130.41 (130.21, 130.6)	3.9 (3.01, 4.76)
Geneva, Switzerland	Without Serorev.	18.3 (18.1, 18.49)	19.77 (19.58, 19.95)	0.85 (0.84, 0.86)	NA	NA
Geneva, Switzerland	With Serorev.	18.3 (18.1, 18.5)	19.77 (19.58, 19.95)	0.85 (0.84, 0.86)	130.4 (130.21, 130.61)	3.71 (2.76, 4.66)
Zurich, Switzerland	Without Serorev.	18.29 (18.1, 18.5)	19.79 (19.59, 19.96)	0.85 (0.84, 0.86)	NA	NA
Zurich, Switzerland	With Serorev.	18.3 (18.1, 18.5)	19.79 (19.59, 19.96)	0.85 (0.84, 0.86)	130.41 (130.21, 130.6)	3.7 (2.76, 4.64)
New York State, USA	Without Serorev.	18.3 (18.1, 18.49)	19.75 (19.55, 19.93)	0.87 (0.86, 0.88)	NA	NA
New York State, USA	With Serorev.	18.3 (18.11, 18.49)	19.75 (19.55, 19.94)	0.87 (0.86, 0.88)	132.81 (131.98, 132.99)	3.81 (2.14, 4.95)
